Include	Concatenated	Class_Desc	Primary_Code	Secondary_Code	Tertiary_Code	Quaternary_Code	Primary_Desc	Secondary_Desc	Tertiary_Desc	Quaternary_Desc
	CR01	Bank / Financial Service	C	R	1		Commercial	Retail	Bank / Financial Service	
	CR02	Retail Service Agent	C	R	2		Commercial	Retail	Retail Service Agent	
Y	CR02PO	Post Office	C	R	2	PO	Commercial	Retail	Retail Service Agent	Post Office
	CR04	Market (Indoor / Outdoor)	C	R	4		Commercial	Retail	Market (Indoor / Outdoor)	
	CR04FK	Fish Market	C	R	4	FK	Commercial	Retail	Market (Indoor / Outdoor)	Fish Market
	CR04FV	Fruit / Vegetable Market	C	R	4	FV	Commercial	Retail	Market (Indoor / Outdoor)	Fruit / Vegetable Market
	CR04LV	Livestock Market	C	R	4	LV	Commercial	Retail	Market (Indoor / Outdoor)	Livestock Market
	CR05	Petrol Filling Station	C	R	5		Commercial	Retail	Petrol Filling Station	
Y	CR06	Public House / Bar / Nightclub	C	R	6		Commercial	Retail	Public House / Bar / Nightclub	
	CR07	Restaurant / Cafeteria	C	R	7		Commercial	Retail	Restaurant / Cafeteria	
?	CR08	Shop / Showroom	C	R	8		Commercial	Retail	Shop / Showroom	
	CR08GC	Garden Centre	C	R	8	GC	 	Retail	Shop / Showroom	Garden Centre
?	CR09	Other Licensed Premise / Vendor	C	R	9		Commercial	Retail	Other Licensed Premise / Vendor	
	CR10	Fast Food Outlet / Takeaway (Hot / Cold)	C	R	10		Commercial	Retail	Fast Food Outlet / Takeaway (Hot / Cold)	
	CR11	Automated Teller Machine (ATM)	C	R	11		Commercial	Retail	Automated Teller Machine (ATM)	
E	CS	Storage Land	C	S			Commercial	Storage Land		
E	CS01	General Storage Land	C	S	1		Commercial	Storage Land	General Storage Land	
E	CS02	Builders’ Yard	C	S	2		Commercial	Storage Land	Builders’ Yard	
N	CT	Transport	C	T			Commercial	Transport		
N	CT01	Airfield / Airstrip / Airport / Air Transport Infrastructure Facility	C	T	1		Commercial	Transport	Airfield / Airstrip / Airport / Air Transport Infrastructure Facility	
N	CT01AF	Airfield	C	T	1	AF	Commercial	Transport	Airfield / Airstrip / Airport / Air Transport Infrastructure Facility	Airfield
N	CT01AY	Air Passenger Terminal	C	T	1	AY	Commercial	Transport	Airfield / Airstrip / Airport / Air Transport Infrastructure Facility	Air Passenger Terminal
N	CT01AI	Air Transport Infrastructure Services	C	T	1	AI	Commercial	Transport	Airfield / Airstrip / Airport / Air Transport Infrastructure Facility	Air Transport Infrastructure Services
N	CT01AP	Airport	C	T	1	AP	Commercial	Transport	Airfield / Airstrip / Airport / Air Transport Infrastructure Facility	Airport
N	CT01HS	Helicopter Station	C	T	1	HS	Commercial	Transport	Airfield / Airstrip / Airport / Air Transport Infrastructure Facility	Helicopter Station
N	CT01HT	Heliport / Helipad	C	T	1	HT	Commercial	Transport	Airfield / Airstrip / Airport / Air Transport Infrastructure Facility	Heliport / Helipad
N	CT02	Bus Shelter	C	T	2		Commercial	Transport	Bus Shelter	
N	CT03	Car / Coach / Commercial Vehicle / Taxi Parking / Park And Ride Site	C	T	3		Commercial	Transport	Car / Coach / Commercial Vehicle / Taxi Parking / Park And Ride Site	
N	CT03PK	Public Park And Ride	C	T	3	PK	Commercial	Transport	Car / Coach / Commercial Vehicle / Taxi Parking / Park And Ride Site	Public Park And Ride
N	CT03PP	Public Car Parking	C	T	3	PP	Commercial	Transport	Car / Coach / Commercial Vehicle / Taxi Parking / Park And Ride Site	Public Car Parking
N	CT03PU	Public Coach Parking	C	T	3	PU	Commercial	Transport	Car / Coach / Commercial Vehicle / Taxi Parking / Park And Ride Site	Public Coach Parking
N	CT03VP	Public Commercial Vehicle Parking	C	T	3	VP	Commercial	Transport	Car / Coach / Commercial Vehicle / Taxi Parking / Park And Ride Site	Public Commercial Vehicle Parking
N	CT04	Goods Freight Handling / Terminal	C	T	4		Commercial	Transport	Goods Freight Handling / Terminal	
N	CT04AE	Air Freight Terminal	C	T	4	AE	Commercial	Transport	Goods Freight Handling / Terminal	Air Freight Terminal
N	CT04CF	Container Freight	C	T	4	CF	Commercial	Transport	Goods Freight Handling / Terminal	Container Freight
N	CT04RH	Road Freight Transport	C	T	4	RH	Commercial	Transport	Goods Freight Handling / Terminal	Road Freight Transport
N	CT04RT	Rail Freight Transport	C	T	4	RT	Commercial	Transport	Goods Freight Handling / Terminal	Rail Freight Transport
	CT05	Marina	C	T	5		Commercial	Transport	Marina	
Y	CT06	Mooring	C	T	6		Commercial	Transport	Mooring	
N	CT07	Railway Asset	C	T	7		Commercial	Transport	Railway Asset	
N	CT08	Station / Interchange / Terminal / Halt	C	T	8		Commercial	Transport	Station / Interchange / Terminal / Halt	
N	CT08BC	Bus / Coach Station	C	T	8	BC	Commercial	Transport	Station / Interchange / Terminal / Halt	Bus / Coach Station
N	CT08RS	Railway Station	C	T	8	RS	Commercial	Transport	Station / Interchange / Terminal / Halt	Railway Station
N	CT08VH	Vehicular Rail Terminal	C	T	8	VH	Commercial	Transport	Station / Interchange / Terminal / Halt	Vehicular Rail Terminal
N	CT09	Transport Track / Way	C	T	9		Commercial	Transport	Transport Track / Way	
N	CT09CL	Cliff Railway	C	T	9	CL	Commercial	Transport	Transport Track / Way	Cliff Railway
N	CT09CX	Chair Lift / Cable Car / Ski Tow	C	T	9	CX	Commercial	Transport	Transport Track / Way	Chair Lift / Cable Car / Ski Tow
N	CT09MO	Monorail	C	T	9	MO	Commercial	Transport	Transport Track / Way	Monorail
N	CT10	Vehicle Storage	C	T	10		Commercial	Transport	Vehicle Storage	
N	CT10BG	Boat Storage	C	T	10	BG	Commercial	Transport	Vehicle Storage	Boat Storage
N	CT10BU	Bus / Coach Depot	C	T	10	BU	Commercial	Transport	Vehicle Storage	Bus / Coach Depot
N	CT11	Transport Related Infrastructure	C	T	11		Commercial	Transport	Transport Related Infrastructure	
N	CT11AD	Aqueduct	C	T	11	AD	Commercial	Transport	Transport Related Infrastructure	Aqueduct
N	CT11LK	Lock	C	T	11	LK	Commercial	Transport	Transport Related Infrastructure	Lock
N	CT11WE	Weir	C	T	11	WE	Commercial	Transport	Transport Related Infrastructure	Weir
N	CT11WG	Weighbridge / Load Gauge	C	T	11	WG	Commercial	Transport	Transport Related Infrastructure	Weighbridge / Load Gauge
N	CT12	Overnight Lorry Park	C	T	12		Commercial	Transport	Overnight Lorry Park	
N	CT13	Harbour / Port / Dock / Dockyard / Slipway / Landing Stage / Pier / Jetty / Pontoon / Terminal / Berthing / Quay	C	T	13		Commercial	Transport	Harbour / Port / Dock / Dockyard / Slipway / Landing Stage / Pier / Jetty / Pontoon / Terminal / Berthing / Quay	
N	CT13FR	Passenger Ferry Terminal	C	T	13	FR	Commercial	Transport	Harbour / Port / Dock / Dockyard / Slipway / Landing Stage / Pier / Jetty / Pontoon / Terminal / Berthing / Quay	Passenger Ferry Terminal
N	CT13NB	Non-Tanker Nautical Berthing	C	T	13	NB	Commercial	Transport	Harbour / Port / Dock / Dockyard / Slipway / Landing Stage / Pier / Jetty / Pontoon / Terminal / Berthing / Quay	Non-Tanker Nautical Berthing
N	CT13NF	Nautical Refuelling Facility	C	T	13	NF	Commercial	Transport	Harbour / Port / Dock / Dockyard / Slipway / Landing Stage / Pier / Jetty / Pontoon / Terminal / Berthing / Quay	Nautical Refuelling Facility
N	CT13SA	Slipway	C	T	13	SA	Commercial	Transport	Harbour / Port / Dock / Dockyard / Slipway / Landing Stage / Pier / Jetty / Pontoon / Terminal / Berthing / Quay	Slipway
N	CT13SP	Ship Passenger Terminal	C	T	13	SP	Commercial	Transport	Harbour / Port / Dock / Dockyard / Slipway / Landing Stage / Pier / Jetty / Pontoon / Terminal / Berthing / Quay	Ship Passenger Terminal
N	CT13TK	Tanker Berthing	C	T	13	TK	Commercial	Transport	Harbour / Port / Dock / Dockyard / Slipway / Landing Stage / Pier / Jetty / Pontoon / Terminal / Berthing / Quay	Tanker Berthing
N	CT13VF	Vehicular Ferry Terminal	C	T	13	VF	Commercial	Transport	Harbour / Port / Dock / Dockyard / Slipway / Landing Stage / Pier / Jetty / Pontoon / Terminal / Berthing / Quay	Vehicular Ferry Terminal
N	CU	Utility	C	U			Commercial	Utility		
N	CU01	Electricity Sub-Station	C	U	1		Commercial	Utility	Electricity Sub-Station	
N	CU02	Landfill	C	U	2		Commercial	Utility	Landfill	
N	CU03	Power Station / Energy Production	C	U	3		Commercial	Utility	Power Station / Energy Production	
N	CU03ED	Electricity Distribution Facility	C	U	3	ED	Commercial	Utility	Power Station / Energy Production	Electricity Distribution Facility
N	CU03EP	Electricity Production Facility	C	U	3	EP	Commercial	Utility	Power Station / Energy Production	Electricity Production Facility
N	CU03WF	Wind Farm	C	U	3	WF	Commercial	Utility	Power Station / Energy Production	Wind Farm
N	CU03WU	Wind Turbine	C	U	3	WU	Commercial	Utility	Power Station / Energy Production	Wind Turbine
N	CU04	Pump House / Pumping Station / Water Tower	C	U	4		Commercial	Utility	Pump House / Pumping Station / Water Tower	
N	CU04WC	Water Controlling / Pumping	C	U	4	WC	Commercial	Utility	Pump House / Pumping Station / Water Tower	Water Controlling / Pumping
N	CU04WD	Water Distribution / Pumping	C	U	4	WD	Commercial	Utility	Pump House / Pumping Station / Water Tower	Water Distribution / Pumping
N	CU04WM	Water Quality Monitoring	C	U	4	WM	Commercial	Utility	Pump House / Pumping Station / Water Tower	Water Quality Monitoring
N	CU04WS	Water Storage	C	U	4	WS	Commercial	Utility	Pump House / Pumping Station / Water Tower	Water Storage
N	CU04WW	Waste Water Distribution / Pumping	C	U	4	WW	Commercial	Utility	Pump House / Pumping Station / Water Tower	Waste Water Distribution / Pumping
N	CU06	Telecommunication	C	U	6		Commercial	Utility	Telecommunication	
N	CU06TE	Telecommunications Mast	C	U	6	TE	Commercial	Utility	Telecommunication	Telecommunications Mast
N	CU06TX	Telephone Exchange	C	U	6	TX	Commercial	Utility	Telecommunication	Telephone Exchange
N	CU07	Water / Waste Water / Sewage Treatment Works	C	U	7		Commercial	Utility	Water / Waste Water / Sewage Treatment Works	
N	CU07WR	Waste Water Treatment	C	U	7	WR	Commercial	Utility	Water / Waste Water / Sewage Treatment Works	Waste Water Treatment
N	CU07WT	Water Treatment	C	U	7	WT	Commercial	Utility	Water / Waste Water / Sewage Treatment Works	Water Treatment
N	CU08	Gas / Oil Storage / Distribution	C	U	8		Commercial	Utility	Gas / Oil Storage / Distribution	
N	CU08GG	Gas Governor	C	U	8	GG	Commercial	Utility	Gas / Oil Storage / Distribution	Gas Governor
N	CU08GH	Gas Holder	C	U	8	GH	Commercial	Utility	Gas / Oil Storage / Distribution	Gas Holder
N	CU08OT	Oil Terminal	C	U	8	OT	Commercial	Utility	Gas / Oil Storage / Distribution	Oil Terminal
N	CU09	Other Utility Use	C	U	9		Commercial	Utility	Other Utility Use	
N	CU09OV	Observatory	C	U	9	OV	Commercial	Utility	Other Utility Use	Observatory
N	CU09RA	Radar Station	C	U	9	RA	Commercial	Utility	Other Utility Use	Radar Station
N	CU09SE	Satellite Earth Station	C	U	9	SE	Commercial	Utility	Other Utility Use	Satellite Earth Station
N	CU09CQ	Cable Terminal Station	C	U	9	CQ	Commercial	Utility	Other Utility Use	Cable Terminal Station
N	CU10	Waste Management	C	U	10		Commercial	Utility	Waste Management	
N	CU11	Telephone Box	C	U	11		Commercial	Utility	Telephone Box	
N	CU11OP	Other Public Telephones	C	U	11	OP	Commercial	Utility	Telephone Box	Other Public Telephones
N	CU12	Dam	C	U	12		Commercial	Utility	Dam	
N	CX	Emergency / Rescue Service	C	X			Commercial	Emergency / Rescue Service		
N	CX01	Police / Transport Police / Station	C	X	1		Commercial	Emergency / Rescue Service	Police / Transport Police / Station	
N	CX01PT	Police Training	C	X	1	PT	Commercial	Emergency / Rescue Service	Police / Transport Police / Station	Police Training
N	CX02	Fire Station	C	X	2		Commercial	Emergency / Rescue Service	Fire Station	
N	CX02FT	Fire Service Training	C	X	2	FT	Commercial	Emergency / Rescue Service	Fire Station	Fire Service Training
N	CX03	Ambulance Station	C	X	3		Commercial	Emergency / Rescue Service	Ambulance Station	
N	CX03AA	Air Sea Rescue / Air Ambulance	C	X	3	AA	Commercial	Emergency / Rescue Service	Ambulance Station	Air Sea Rescue / Air Ambulance
N	CX04	Lifeboat Services / Station	C	X	4		Commercial	Emergency / Rescue Service	Lifeboat Services / Station	
N	CX05	Coastguard Rescue / Lookout / Station	C	X	5		Commercial	Emergency / Rescue Service	Coastguard Rescue / Lookout / Station	
N	CX06	Mountain Rescue Station	C	X	6		Commercial	Emergency / Rescue Service	Mountain Rescue Station	
	CX07	Lighthouse	C	X	7		Commercial	Emergency / Rescue Service	Lighthouse	
N	CX08	Police Box / Kiosk	C	X	8		Commercial	Emergency / Rescue Service	Police Box / Kiosk	
N	CZ	Information	C	Z			Commercial	Information		
N	CZ01	Advertising Hoarding	C	Z	1		Commercial	Information	Advertising Hoarding	
N	CZ02	Tourist Information Signage	C	Z	2		Commercial	Information	Tourist Information Signage	
N	CZ02VI	Visitor Information	C	Z	2	VI	Commercial	Information	Tourist Information Signage	Visitor Information
N	CZ03	Traffic Information Signage	C	Z	3		Commercial	Information	Traffic Information Signage	
	L	Land	L				Land			
N	LA	Agricultural - Applicable to land in farm ownership and not run as a separate business enterprise	L	A			Land	Agricultural - Applicable to land in farm ownership and not run as a separate business enterprise		
N	LA01	Grazing Land	L	A	1		Land	Agricultural - Applicable to land in farm ownership and not run as a separate business enterprise	Grazing Land	
N	LA02	Permanent Crop / Crop Rotation	L	A	2		Land	Agricultural - Applicable to land in farm ownership and not run as a separate business enterprise	Permanent Crop / Crop Rotation	
N	LA02OC	Orchard	L	A	2	OC	Land	Agricultural - Applicable to land in farm ownership and not run as a separate business enterprise	Permanent Crop / Crop Rotation	Orchard
N	LB	Ancillary Building	L	B			Land	Ancillary Building		
N	LB99AV	Aviary / Dovecot / Cage	L	B	99	AV	Land	Ancillary Building		Aviary / Dovecot / Cage
N	LB99BD	Bandstand	L	B	99	BD	Land	Ancillary Building		Bandstand
N	LB99PI	Pavilion / Changing Room	L	B	99	PI	Land	Ancillary Building		Pavilion / Changing Room
N	LB99SV	Sports Viewing Structure	L	B	99	SV	Land	Ancillary Building		Sports Viewing Structure
N	LC	Burial Ground	L	C			Land	Burial Ground		
N	LC01	Historic / Disused Cemetery / Graveyard	L	C	1		Land	Burial Ground	Historic / Disused Cemetery / Graveyard	
Y	LD	Development	L	D			Land	Development		
Y	LD01	Development Site	L	D	1		Land	Development	Development Site	
	LD01CC	Commercial Construction Site	L	D	1	CC	Land	Development	Development Site	Commercial Construction Site
	LD01CO	Community Construction Site	L	D	1	CO	Land	Development	Development Site	Community Construction Site
Y	LD01RN	Residential Construction Site	L	D	1	RN	Land	Development	Development Site	Residential Construction Site
N	LD01TC	Transport Construction Site	L	D	1	TC	Land	Development	Development Site	Transport Construction Site
N	LF	Forestry	L	F			Land	Forestry		
N	LF02	Forest / Arboretum / Pinetum (Managed / Unmanaged)	L	F	2		Land	Forestry	Forest / Arboretum / Pinetum (Managed / Unmanaged)	
N	LF02AU	Arboretum	L	F	2	AU	Land	Forestry	Forest / Arboretum / Pinetum (Managed / Unmanaged)	Arboretum
N	LF03	Woodland	L	F	3		Land	Forestry	Woodland	
N	LL	Allotment	L	L			Land	Allotment		
N	LM	Amenity - Open areas not attracting visitors	L	M			Land	Amenity - Open areas not attracting visitors		
N	LM01	Landscaped Roundabout	L	M	1		Land	Amenity - Open areas not attracting visitors	Landscaped Roundabout	
N	LM02	Verge / Central Reservation	L	M	2		Land	Amenity - Open areas not attracting visitors	Verge / Central Reservation	
N	LM02NV	Natural Central Reservation	L	M	2	NV	Land	Amenity - Open areas not attracting visitors	Verge / Central Reservation	Natural Central Reservation
N	LM02VE	Natural Verge	L	M	2	VE	Land	Amenity - Open areas not attracting visitors	Verge / Central Reservation	Natural Verge
N	LM03	Maintained Amenity Land	L	M	3		Land	Amenity - Open areas not attracting visitors	Maintained Amenity Land	
N	LM04	Maintained Surfaced Area	L	M	4		Land	Amenity - Open areas not attracting visitors	Maintained Surfaced Area	
N	LM04MV	Made Central Reservation	L	M	4	MV	Land	Amenity - Open areas not attracting visitors	Maintained Surfaced Area	Made Central Reservation
N	LM04PV	Pavement	L	M	4	PV	Land	Amenity - Open areas not attracting visitors	Maintained Surfaced Area	Pavement
N	LO	Open Space	L	O			Land	Open Space		
N	LO01	Heath / Moorland	L	O	1		Land	Open Space	Heath / Moorland	
N	LP	Park	L	P			Land	Park		
N	LP01	Public Park / Garden	L	P	1		Land	Park	Public Park / Garden	
N	LP02	Public Open Space / Nature Reserve	L	P	2		Land	Park	Public Open Space / Nature Reserve	
N	LP03	Playground	L	P	3		Land	Park	Playground	
N	LP03PA	Play Area	L	P	3	PA	Land	Park	Playground	Play Area
N	LP03PD	Paddling Pool	L	P	3	PD	Land	Park	Playground	Paddling Pool
N	LP04	Private Park / Garden	L	P	4		Land	Park	Private Park / Garden	
N	LU	Unused Land	L	U			Land	Unused Land		
N	LU01	Vacant / Derelict Land	L	U	1		Land	Unused Land	Vacant / Derelict Land	
N	LW	Water	L	W			Land	Water		
N	LW01	Lake / Reservoir	L	W	1		Land	Water	Lake / Reservoir	
N	LW01BP	Balancing Pond	L	W	1	BP	Land	Water	Lake / Reservoir	Balancing Pond
N	LW01BV	Buried Reservoir	L	W	1	BV	Land	Water	Lake / Reservoir	Buried Reservoir
N	LW02	Named Pond	L	W	2		Land	Water	Named Pond	
N	LW02DE	Dew Pond	L	W	2	DE	Land	Water	Named Pond	Dew Pond
N	LW02DP	Decoy Pond	L	W	2	DP	Land	Water	Named Pond	Decoy Pond
N	LW02IW	Static Water	L	W	2	IW	Land	Water	Named Pond	Static Water
N	LW03	Waterway	L	W	3		Land	Water	Waterway	
N	LW03LR	Leats / Races	L	W	3	LR	Land	Water	Waterway	Leats / Races
N	LW03DR	Drain	L	W	3	DR	Land	Water	Waterway	Drain
N	M	Military	M				Military			
N	MA	Army	M	A			Military	Army		
N	MA99AR	Army Military Range	M	A	99	AR	Military	Army		Army Military Range
N	MA99AS	Army Site	M	A	99	AS	Military	Army		Army Site
N	MA99AT	Army Military Training	M	A	99	AT	Military	Army		Army Military Training
N	MA99AG	Army Military Storage	M	A	99	AG	Military	Army		Army Military Storage
N	MB	Ancillary Building	M	B			Military	Ancillary Building		
N	MB99TG	Military Target	M	B	99	TG	Military	Ancillary Building		Military Target
N	MF	Air Force	M	F			Military	Air Force		
N	MF99UG	Air Force Military Storage	M	F	99	UG	Military	Air Force		Air Force Military Storage
N	MF99UR	Air Force Military Range	M	F	99	UR	Military	Air Force		Air Force Military Range
N	MF99US	Air Force Site	M	F	99	US	Military	Air Force		Air Force Site
N	MF99UT	Air Force Military Training	M	F	99	UT	Military	Air Force		Air Force Military Training
N	MG	Defence Estates	M	G			Military	Defence Estates		
N	MN	Navy	M	N			Military	Navy		
N	MN99VG	Naval Military Storage	M	N	99	VG	Military	Navy		Naval Military Storage
N	MN99VR	Naval Military Range	M	N	99	VR	Military	Navy		Naval Military Range
N	MN99VS	Naval Site	M	N	99	VS	Military	Navy		Naval Site
N	MN99VT	Naval Military Training	M	N	99	VT	Military	Navy		Naval Military Training
N	O	Other (Ordnance Survey Only)	O				Other (Ordnance Survey Only)			
N	OA	Aid To Navigation	O	A			Other (Ordnance Survey Only)	Aid To Navigation		
N	OA01	Aid To Aeronautical Navigation	O	A	1		Other (Ordnance Survey Only)	Aid To Navigation	Aid To Aeronautical Navigation	
N	OA01AL	Aeronautical Navigation Beacon / Light	O	A	1	AL	Other (Ordnance Survey Only)	Aid To Navigation	Aid To Aeronautical Navigation	Aeronautical Navigation Beacon / Light
N	OA01LL	Landing Light	O	A	1	LL	Other (Ordnance Survey Only)	Aid To Navigation	Aid To Aeronautical Navigation	Landing Light
N	OA01SQ	Signal Square	O	A	1	SQ	Other (Ordnance Survey Only)	Aid To Navigation	Aid To Aeronautical Navigation	Signal Square
N	OA01WK	Wind Sock / Wind Tee	O	A	1	WK	Other (Ordnance Survey Only)	Aid To Navigation	Aid To Aeronautical Navigation	Wind Sock / Wind Tee
N	OA02	Aid To Nautical Navigation	O	A	2		Other (Ordnance Survey Only)	Aid To Navigation	Aid To Nautical Navigation	
N	OA02DM	Daymark	O	A	2	DM	Other (Ordnance Survey Only)	Aid To Navigation	Aid To Nautical Navigation	Daymark
N	OA02FG	Fog Horn Warning	O	A	2	FG	Other (Ordnance Survey Only)	Aid To Navigation	Aid To Nautical Navigation	Fog Horn Warning
N	OA02NL	Nautical Navigation Beacon / Light	O	A	2	NL	Other (Ordnance Survey Only)	Aid To Navigation	Aid To Nautical Navigation	Nautical Navigation Beacon / Light
N	OA03	Aid To Road Navigation	O	A	3		Other (Ordnance Survey Only)	Aid To Navigation	Aid To Road Navigation	
N	OA03GP	Guide Post	O	A	3	GP	Other (Ordnance Survey Only)	Aid To Navigation	Aid To Road Navigation	Guide Post
N	OC	Coastal Protection / Flood Prevention	O	C			Other (Ordnance Survey Only)	Coastal Protection / Flood Prevention		
N	OC01	Boulder Wall / Sea Wall	O	C	1		Other (Ordnance Survey Only)	Coastal Protection / Flood Prevention	Boulder Wall / Sea Wall	
N	OC02	Flood Gate / Flood Sluice Gate / Flood Valve	O	C	2		Other (Ordnance Survey Only)	Coastal Protection / Flood Prevention	Flood Gate / Flood Sluice Gate / Flood Valve	
N	OC03	Groyne	O	C	3		Other (Ordnance Survey Only)	Coastal Protection / Flood Prevention	Groyne	
N	OC04	Rip-Rap	O	C	4		Other (Ordnance Survey Only)	Coastal Protection / Flood Prevention	Rip-Rap	
N	OE	Emergency Support	O	E			Other (Ordnance Survey Only)	Emergency Support		
N	OE01	Beach Office / First Aid Facility	O	E	1		Other (Ordnance Survey Only)	Emergency Support	Beach Office / First Aid Facility	
N	OE02	Emergency Telephone (Non Motorway)	O	E	2		Other (Ordnance Survey Only)	Emergency Support	Emergency Telephone (Non Motorway)	
N	OE03	Fire Alarm Structure / Fire Observation Tower / Fire Beater Facility	O	E	3		Other (Ordnance Survey Only)	Emergency Support	Fire Alarm Structure / Fire Observation Tower / Fire Beater Facility	
N	OE04	Emergency Equipment Point / Emergency Siren / Warning Flag	O	E	4		Other (Ordnance Survey Only)	Emergency Support	Emergency Equipment Point / Emergency Siren / Warning Flag	
N	OE05	Lifeguard Facility	O	E	5		Other (Ordnance Survey Only)	Emergency Support	Lifeguard Facility	
N	OE06	LIfe / Belt / Buoy / Float / Jacket / Safety Rope	O	E	6		Other (Ordnance Survey Only)	Emergency Support	LIfe / Belt / Buoy / Float / Jacket / Safety Rope	
N	OF	Street Furniture	O	F			Other (Ordnance Survey Only)	Street Furniture		
N	OG	Agricultural Support Objects	O	G			Other (Ordnance Survey Only)	Agricultural Support Objects		
N	OG01	Fish Ladder / Lock / Pen / Trap	O	G	1		Other (Ordnance Survey Only)	Agricultural Support Objects	Fish Ladder / Lock / Pen / Trap	
N	OG02	Livestock Pen / Dip	O	G	2		Other (Ordnance Survey Only)	Agricultural Support Objects	Livestock Pen / Dip	
N	OG03	Currick	O	G	3		Other (Ordnance Survey Only)	Agricultural Support Objects	Currick	
N	OG04	Slurry Bed / Pit	O	G	4		Other (Ordnance Survey Only)	Agricultural Support Objects	Slurry Bed / Pit	
N	OH	Historical Site / Object	O	H			Other (Ordnance Survey Only)	Historical Site / Object		
N	OH01	Historic Structure / Object	O	H	1		Other (Ordnance Survey Only)	Historical Site / Object	Historic Structure / Object	
N	OI	Industrial Support	O	I			Other (Ordnance Survey Only)	Industrial Support		
N	OI01	Adit / Incline / Level	O	I	1		Other (Ordnance Survey Only)	Industrial Support	Adit / Incline / Level	
N	OI02	Caisson / Dry Dock / Grid	O	I	2		Other (Ordnance Survey Only)	Industrial Support	Caisson / Dry Dock / Grid	
N	OI03	Channel / Conveyor / Conduit / Pipe	O	I	3		Other (Ordnance Survey Only)	Industrial Support	Channel / Conveyor / Conduit / Pipe	
N	OI04	Chimney / Flue	O	I	4		Other (Ordnance Survey Only)	Industrial Support	Chimney / Flue	
N	OI05	Crane / Hoist / Winch / Material Elevator	O	I	5		Other (Ordnance Survey Only)	Industrial Support	Crane / Hoist / Winch / Material Elevator	
N	OI06	Flare Stack	O	I	6		Other (Ordnance Survey Only)	Industrial Support	Flare Stack	
N	OI07	Hopper / Silo / Cistern / Tank	O	I	7		Other (Ordnance Survey Only)	Industrial Support	Hopper / Silo / Cistern / Tank	
N	OI08	Grab / Skip / Other Industrial Waste Machinery / Discharging	O	I	8		Other (Ordnance Survey Only)	Industrial Support	Grab / Skip / Other Industrial Waste Machinery / Discharging	
N	OI09	Kiln / Oven / Smelter	O	I	9		Other (Ordnance Survey Only)	Industrial Support	Kiln / Oven / Smelter	
N	OI10	Manhole / Shaft	O	I	10		Other (Ordnance Survey Only)	Industrial Support	Manhole / Shaft	
N	OI11	Industrial Overflow / Sluice / Valve / Valve Housing	O	I	11		Other (Ordnance Survey Only)	Industrial Support	Industrial Overflow / Sluice / Valve / Valve Housing	
N	OI12	Cooling Tower	O	I	12		Other (Ordnance Survey Only)	Industrial Support	Cooling Tower	
N	OI13	Solar Panel / Waterwheel	O	I	13		Other (Ordnance Survey Only)	Industrial Support	Solar Panel / Waterwheel	
N	OI14	Telephone Pole / Post	O	I	14		Other (Ordnance Survey Only)	Industrial Support	Telephone Pole / Post	
N	OI15	Electricity Distribution Pole / Pylon	O	I	15		Other (Ordnance Survey Only)	Industrial Support	Electricity Distribution Pole / Pylon	
N	ON	Significant Natural Object	O	N			Other (Ordnance Survey Only)	Significant Natural Object		
N	ON01	Boundary / Significant / Historic Tree / Pollard	O	N	1		Other (Ordnance Survey Only)	Significant Natural Object	Boundary / Significant / Historic Tree / Pollard	
N	ON02	Boundary / Significant Rock / Boulder	O	N	2		Other (Ordnance Survey Only)	Significant Natural Object	Boundary / Significant Rock / Boulder	
N	ON03	Natural Hole (Blow / Shake / Swallow)	O	N	3		Other (Ordnance Survey Only)	Significant Natural Object	Natural Hole (Blow / Shake / Swallow)	
N	OO	Ornamental / Cultural Object	O	O			Other (Ordnance Survey Only)	Ornamental / Cultural Object		
N	OO02	Mausoleum / Tomb / Grave	O	O	2		Other (Ordnance Survey Only)	Ornamental / Cultural Object	Mausoleum / Tomb / Grave	
N	OO03	Simple Ornamental Object	O	O	3		Other (Ordnance Survey Only)	Ornamental / Cultural Object	Simple Ornamental Object	
N	OO04	Maze	O	O	4		Other (Ordnance Survey Only)	Ornamental / Cultural Object	Maze	
N	OP	Sport / Leisure Support	O	P			Other (Ordnance Survey Only)	Sport / Leisure Support		
N	OP01	Butt / Hide	O	P	1		Other (Ordnance Survey Only)	Sport / Leisure Support	Butt / Hide	
N	OP02	Gallop / Ride	O	P	2		Other (Ordnance Survey Only)	Sport / Leisure Support	Gallop / Ride	
N	OP03	Miniature Railway	O	P	3		Other (Ordnance Survey Only)	Sport / Leisure Support	Miniature Railway	
N	OR	Royal Mail Infrastructure	O	R			Other (Ordnance Survey Only)	Royal Mail Infrastructure		
N	OR01	Postal Box	O	R	1		Other (Ordnance Survey Only)	Royal Mail Infrastructure	Postal Box	
N	OR02	Postal Delivery Box / Pouch	O	R	2		Other (Ordnance Survey Only)	Royal Mail Infrastructure	Postal Delivery Box / Pouch	
N	OR03	PO Box	O	R	3		Other (Ordnance Survey Only)	Royal Mail Infrastructure	PO Box	
Y	OR04	Additional Mail / Packet Addressee	O	R	4		Other (Ordnance Survey Only)	Royal Mail Infrastructure	Additional Mail / Packet Addressee	
N	OS	Scientific / Observation Support	O	S			Other (Ordnance Survey Only)	Scientific / Observation Support		
